Chal bhai  Samsher  Shaabash | DEL
Hum toh pagli pagli bulaate the | EUP
Itthe maal kaun vechda hai | DEL
Bol bhenchod | DEL
Thoda bhot chahida taa mere tohn le le veerey | DEL
Ki hoya | DEL
jeda bhaandi si aspataal vich peya hai | DEL
Koi deal dool vich haath godey toot gaye oude | DEL
Saala bilkul Tommy dikhta hai | DEL
Ae Virender Singh ji da ghar kitthe pehnda hai | DEL
Virender Singh  Aetthe taa koi Virender Singh nahi hai | DEL
Deluxe Pharmaceuticals de maalik Hain  Kaun | DEL
Tussi Veeru chamaar di gal taa nahi kar rahe | DEL
Kothi taa changi banaayi hai | DEL
Maalkaan di mehr hai | DEL
Pind vich mobile taa chalde nahi | DEL
Par andar phone haiga | DEL
Tussi chaaho taa gal kar sakde ho Veeru naal | DEL
Nahi jee theek hai Aetthe aaye si taan sochya vekh laan Veeru haiga taa | DEL
Muddat ho gayi | HUM
Waise Veeru aajkal karda ki hai | DEL
Ohi Driveri Set hai kaam ouda | DEL
Private hai | STD
Haan Apne Amar Pal Singh ji kol | DEL
apne Brar saab hain na Ohda damaad | DEL
Oh ho Haan jee haan jee Aa gaya yaad | DEL
Veeru ne daseya si family relation hai | DEL
Aaho Veeru di baraat vich poori family nachi si Brar saab di | DEL
Chalna chahiye nahi | STD
Chalo jee | DEL
Hor na maaro | DEL
Hor na maaro | DEL
Nahi yaara Asi taa pra haan | DEL
Bhai bhai Hai na | STD
Bhot kuteya yaar mainu | DEL
Bhot kuteya tere pra nu | DEL
kudi nu kitthe rakhya hai | DEL
o jedi kudi heroin de chakkar vich fans gayi si | DEL
o kitthe hai | DEL
Jackie Chan de saamne sut ditta | DEL
yaar Pen da shola | DEL
haddi haddi khaa gaya penchoda | DEL
Bhai main samajh reya haan | DEL
Par vekh mera ohnu milna bada jaroori hai | DEL
Main kadi kisi de leyi kuchh nahi kitta | DEL
Ik vaari kar len de yaar | DEL
Mukti mil jaavegi | DEL
Bhai sun na | STD
Sorry sorry  Vekh Bhai | DEL
Muddat baad dhun vaji hai kannaan vich | DEL
Os kudi di meherbaani hai | DEL
Jis din tohn mainu mili hai ik vaari vi mann nahi kitta cocaine len da | DEL
Mojo waapsi aaya hai yaar mera | DEL
Ik gaana suna de yaara | DEL
Ik kudi jida naam mohabbat | DEL
Gum hai gum hai | STD
Saad muraadi soni phabbat | DEL
Gum hai | STD
Toh kal 7 baje Chandigarh | STD
Haan  Election Commission ko ek do din dete hain | STD
Koi action nahi hua toh media ko approach karenge | STD
Ab jab pagg baandhne ke liye sheeshe mein dekhunga sharam nahi aayegi | STD
Madamji ek gal main tab se bolna chahta tha | DEL
Us raat na mere se gadbad ho gayi | STD
Wo kya hai na aap itne perfect ho ki | STD
Main bhi ek baat bolna chahti hoon | STD
Kal yeh sab hone ke baad Chandigarh mein coffee peene chalega | STD
Bas yehi bolne aaye thhe | STD
Paani khatam hai Pyaas lagi hai | STD
Laa jug de | STD
Kaake vekh aedaan na kar | DEL
Hor kise nu taa nahi dasya na | DEL
Kee gal kaar rahe ho janaab | DEL
Twaada coujin saada coujin | DEL
Koi na Kaaka Honda hai | DEL
Tu tension na leyi | DEL
apni kothi hai Sultanpura vich | DEL
outthe bas underground rehna hai | DEL
theek hai Main vekh laanga saara kuchh | DEL
chal uth jaa | STD
Munde nu Veerji de safe house le jaa oye | DEL
Main phone kar dyaanga | DEL
Chal bhai Nopi | STD
Ho jaa shuru | STD
Puttar  main aetthe scene create karda haan | DEL
Tu jaa vekh bathroom vich balti kapda hona hai | DEL
Thalle jeda gandh macheya hai  o saaf karde | DEL
Jaa saabash | STD
Kitthe hai yaar Kadon da phone try kar rya haan | DEL
paahji main drive kar rya si | DEL
Aa jaa aetthe Clinic Tere Balli ne kaand kaarta | DEL
Paahji sab theek hai na Kee hoya | DEL
Tu aa taa sahi yaar | DEL
Sirji dhyaan naal | DEL
Paudi geeli hai | DEL
Main suneya Mexico di kudiya badi tote hondi ne | DEL
Inni vadiya toohi ya taa Mexico vich hondi hai yaa Punjab vich | DEL
Hai ki nhi  paahji | DEL
List vichon mera naam taa chadh denda | DEL
Mera vi hai | DEL
Luli vekhi hai ik dooje di | DEL
Vekhi hai ki nahi | DEL
Naukri lawaayi main bachaayi vi main | DEL
Aaj o raand jyaada sagi ho gayi | DEL
Ae gal meri te twaadi nahi | DEL
Taa kee di hai | DEL
Punjab di | DEL
Tu Punjab da theka leya hai penchodaya | DEL
puttar kuj nhi hona Punjab da | DEL
Jameen banjar te aulaad kanjar | DEL
Pehchaana Wo us din raat ko | STD
Fudduwa | EUP
Yehaan kya kar raha hai | STD
Tere ko bachaane aaya hoon | STD
Tu sachchi mein duniya ka number one chutiya hai | STD
ladki o ruk jaa tera naam toh bataa de | STD
Main kyon dassan | DEL
Ouda naav hai | DEL
Ounu hi poochh | DEL
Naam poochh raha hai tera | STD
